Brand,price,Stockout_rate,Lost_revenue,name
&,85.59821428571429,0.30076176303854874,26804.0,224
4th,41.75,0.30833333333333335,2850.0,40
AFRMPart,56.84615384615385,0.010989010989010988,55.0,13
ASOS,46.56822873658134,0.2786498557659614,471999.0,4844
ASYOU,25.023333333333333,0.3664069264069264,2536.9,30
AX,44.785714285714285,0.17857142857142858,615.0,14
Abercrombie,57.63265306122449,0.3333956293139967,5702.0,49
Accessorize,41.36363636363637,0.4,920.0,11
All,117.11475409836065,0.3459146500130107,14571.0,61
Amy,100.0,0.0,0.0,12
Anaya,80.71428571428571,0.05714285714285714,1080.0,42
Ann,25.327272727272728,0.41494763768926446,4901.0,55
Annorlunda,49.625,0.24479166666666666,2413.0,32
Aria,56.72727272727273,0.09595959595959595,836.0,33
Armani,135.0,0.08263888888888889,500.0,12
As,28.873408071748877,0.19722011919321336,9061.48,223
Band,87.91666666666667,0.16666666666666666,950.0,12
Barbour,160.55,0.24438244047619048,10043.6,32
Berghaus,91.29411764705883,0.15294117647058825,842.0,17
Bershka,32.490753623188404,0.33971704623878535,15565.46,345
Bluebella,32.30769230769231,0.20161287987374943,1499.0,13
Bye,29.285714285714285,0.2619047619047619,575.0,14
COLLUSION,20.8275,0.5383771008403361,8515.07,80
Calvin,60.0,0.2438679245283019,3533.0,53
Carhartt,94.1304347826087,0.18478260869565216,1965.0,23
Champion,33.06666666666667,0.05333333333333334,68.0,15
Chelsea,38.5,0.38333333333333336,1292.0,18
Closet,66.83116883116882,0.12269635126777984,3949.0,77
Collective,52.83050847457627,0.1606133979015335,2781.0,59
Collusion,24.636666666666667,0.20706704670172163,13251.4,300
Columbia,78.48,0.28400000000000003,2144.0,25
Cotton,26.0836,0.3331746031746032,3259.77,75
Daisy,25.496644295302012,0.2041387024608501,4383.0,149
Damson,65.73333333333333,0.3022222222222222,1567.0,15
Dickies,38.57627118644068,0.23983050847457626,2889.0,59
Dorina,18.633333333333333,0.4025985434600995,4361.0,30
Dr,54.705882352941174,0.09923273657289003,595.0,17
Edited,66.97560975609755,0.14146341463414633,1513.0,41
Envii,61.65217391304348,0.034782608695652174,283.0,23
Esm,25.580645161290324,0.48310291858678955,2655.0,31
Esmee,25.866666666666667,0.3428571428571428,938.0,15
Extro,43.66346153846154,0.19198717948717947,4181.0,104
Fashionkilla,21.433333333333334,0.1706349206349206,883.5,30
Femme,35.5,0.25,1035.0,24
Flounce,47.98701298701299,0.20238095238095238,3641.0,77
Forever,112.57142857142857,0.16666666666666666,10729.0,98
Fred,102.66666666666667,0.2724867724867725,5069.0,36
Free,92.77530612244898,0.24863945578231292,5425.98,49
French,78.45454545454545,0.3348484848484849,3063.0,22
Gilly,24.4,0.18400000000000002,561.0,25
Glamorous,36.96153846153846,0.17252747252747253,5894.0,156
Gym,40.54545454545455,0.29545454545454547,1665.0,22
HIITWorkout,17.916666666666668,0.13958333333333334,176.0,24
Hollister,33.696969696969695,0.2713023088023088,4452.0,66
Hope,104.03333333333333,0.10777777777777776,5505.0,90
Hunkemoller,25.818181818181817,0.06334731099621381,228.0,11
I,30.338709677419356,0.22645929339477727,2734.0,62
Iisla,26.666666666666668,0.369047619047619,732.0,12
In The Style,38.68670329670329,0.18380429094714806,6333.99,182
Ivory,18.375,0.050075235597439545,434.0,16
JDY,17.615384615384617,0.5243589743589744,659.0,13
JDYPart,26.166666666666668,0.19803675856307434,388.0,12
JJXX,27.214285714285715,0.44523809523809527,722.0,14
Jaded,48.816326530612244,0.24523809523809523,3200.0,49
Jordan,56.67413793103449,0.08653530377668309,748.25,29
Kaiia,41.785714285714285,0.28214285714285714,1305.0,14
Labelrail,70.15384615384616,0.20833333333333334,4508.0,39
Lace,103.1891891891892,0.1027027027027027,1998.0,37
Lavish,109.05,0.0875,2343.0,40
Levi,58.90769230769231,0.13846153846153847,2229.0,65
Lindex,20.113636363636363,0.4321022727272727,2540.0,44
Little,64.94117647058823,0.1925770308123249,2897.0,34
Lost,33.45454545454545,0.18181818181818182,1370.0,11
Love,61.3125,0.22916666666666666,1130.0,16
M,37.833333333333336,0.3888888888888889,868.0,12
Magic,25.916666666666668,0.0746031746031746,166.0,12
Mama,31.107142857142858,0.2470238095238095,2289.0,56
Mango,46.462913907284765,0.4215824278738186,17352.09,151
Maya,113.45833333333333,0.06712962962962962,3960.0,72
Miss Selfridge,36.48219114219114,0.25520313020313024,27406.04,429
Missguided,39.32258064516129,0.39838709677419354,5960.0,62
Missyempire,29.185185185185187,0.21604938271604937,991.0,27
Monki,31.565217391304348,0.3836409645105297,28618.0,345
Morgan,59.142857142857146,0.21619047619047618,2588.0,35
Motel,40.68181818181818,0.25,2660.0,44
NA-KD,38.53846153846154,0.521978021978022,1975.0,13
NA-KDCollaboration,56.97014925373134,0.2462686567164179,5799.0,67
Naked,67.52941176470588,0.4117647058823529,2020.0,17
Napapijri,159.4047619047619,0.25,5310.0,42
Native,35.390243902439025,0.07926829268292683,551.0,41
Neon,36.86666666666667,0.24666666666666667,682.0,15
Never,93.36734693877551,0.15136054421768708,3899.0,49
New Look,29.209158512720155,0.40917626079074215,39671.77,511
Nike,51.643234323432345,0.1910917282204411,12517.050000000001,303
Nobody,55.58620689655172,0.15736863711001642,5538.0,116
Noisy,32.30337078651685,0.24606741573033705,8303.0,178
Object,65.44827586206897,0.18620689655172415,3514.0,58
Only,33.972627737226276,0.2679961765728189,13202.5,274
PIECES,29.326923076923077,0.36602564102564106,1326.5,26
PUMA,26.133333333333333,0.5516666666666666,1499.0,15
Pieces,38.565714285714286,0.21380952380952378,7864.0,175
Pimkie,32.67012820512821,0.3513125763125763,3559.8,78
Pink,32.10526315789474,0.2982456140350877,1077.0,19
Polo,147.5142857142857,0.25115646258503405,7119.0,35
Pretty,73.424,0.234,11464.0,125
Public,30.697,0.2011904761904762,1780.75,50
Pull,29.249664179104478,0.38820184790334045,14737.619999999999,268
Puma,37.69767441860465,0.20473421926910298,1772.0,43
Rare,72.0909090909091,0.14285714285714285,1610.0,22
Rebellious,29.181818181818183,0.1515151515151515,598.0,22
Reclaimed,34.82333333333333,0.4114603174603174,14245.65,150
Reebok,27.72972972972973,0.19414414414414416,757.0,37
River Island,45.41970021413276,0.2997552768430713,39116.0,467
Selected,85.17647058823529,0.21470588235294116,4138.0,34
Signature,38.6875,0.1375,424.0,16
Simmi,46.416666666666664,0.10185185185185186,813.0,36
Simply,28.57608695652174,0.4031108579618397,11591.0,92
Sixth,63.8,0.10476190476190476,645.0,35
Something,55.0,0.036630036630036625,424.0,26
South,23.414634146341463,0.15969802555168408,1120.0,41
Spanx,46.833333333333336,0.3986111111111111,2597.0,36
Starlet,139.11764705882354,0.06862745098039215,1090.0,17
Stradivarius,30.309011627906976,0.36181478405315615,18483.01,344
Style,54.25806451612903,0.3252688172043011,3196.0,31
TFNC,62.91428571428571,0.0919047619047619,2327.0,70
TFNCBride,68.42857142857143,0.09523809523809523,565.0,14
Tammy,28.868852459016395,0.1366120218579235,1501.0,61
The,80.41914191419141,0.22758132956152757,27545.0,303
Tommy,73.1948051948052,0.24004329004329006,8309.0,77
Topshop,47.614876760563384,0.26893984728643544,90720.0,1136
True,120.21052631578948,0.2894736842105263,3456.0,19
Under Armour,42.36363636363637,0.24444444444444444,1111.0,33
Urban,36.662684210526315,0.26767543859649123,9377.13,190
VAI21Exclusive,17.285714285714285,0.25,285.0,14
Vans,38.51428571428571,0.2027891156462585,2779.0,70
Vero Moda,34.862385321100916,0.32404980340760153,22179.0,327
Vesper,57.18181818181818,0.3212121212121212,5720.0,55
Vila,46.65822784810127,0.2716998191681736,11845.0,158
Wednesday,23.75187969924812,0.2847117794486216,4997.0,133
Weekday,42.2090395480226,0.3528046811945117,11612.0,177
Whistles,131.13953488372093,0.10160575858250276,4651.0,43
Wonderbra,41.54545454545455,0.46881475860145055,6157.0,11
Y.A.S,68.05263157894737,0.20526315789473684,1411.0,19
Y.A.SAll,90.61538461538461,0.1282051282051282,792.0,13
Yours,27.771322314049588,0.3606322969959333,7964.759999999999,121
adidas,48.3359375,0.2259515730218855,27508.0,384
sister,118.34693877551021,0.2002915451895044,5616.0,49
